Gender,GivenName,MiddleInitial,Surname,TropicalZodiac,Occupation,BloodType
male,Israel,C,Sanchez,Leo,"Veterinary assistants and laboratory animal caretaker",O+
male,William,K,Perez,Scorpio,"Short-order cook",O+
male,Frank,M,Macey,Pisces,"Gaming investigator",O+
male,Dale,B,Castaneda,Scorpio,Counselor,B+
male,Willard,J,Young,Libra,"Nuclear engineer",B+
male,Rick,L,Luke,Aquarius,"Personnel development specialist",O+
male,William,C,Verduzco,Aries,"Licensed vocational nurse",O+
male,Maximo,I,Ready,Libra,"Child protective services social worker",A+
male,Arthur,D,Rodriguez,Leo,"Braille clerk",B+
female,Alice,A,Miller,Virgo,Choreographer,O+
female,Sabrina,M,Rupe,Leo,"Animal care and service worker",A+
male,James,V,Thomas,Virgo,"Gas appliance repairer",A+
male,James,H,Baez,Aries,"Casino cashier",A+
male,Adam,B,Cao,Leo,"Administrative clerk",B+
male,James,H,Sullivan,Cancer,"Vascular sonographer",O+
female,Mary,J,Stephens,Scorpio,"Maxillofacial radiologist",B+
male,Roger,T,Smith,Aries,"Magnetic resonance (MR) technologist",B+
male,Joshua,J,Johnson,Aquarius,"Buyers' agent",O+
female,Florence,M,Reeves,Virgo,Paraprofessional,A+
male,Paul,T,Robinson,Gemini,"Environmental chemist",A+
male,John,E,Gorman,Scorpio,"Oncology nurse",O+
male,Jerry,M,Mitchell,Gemini,"Certified public accountant",O+
male,Pedro,R,Dennis,Sagittarius,"Assistant cook",O+
male,James,J,Denny,Gemini,"Revenue officer",O+
female,Valerie,M,Black,Cancer,Welder,O-
male,Gregory,M,Zuniga,Aquarius,"Charter bus driver",O+
male,James,K,Rodriquez,Gemini,Paperhanger,A+
male,Joseph,D,Mendez,Taurus,"Management consultant",AB+
female,Mary,T,Bail,Taurus,"Management analyst",O+
female,Jacqueline,M,Perkins,Scorpio,"Telecommunications equipment installer",O+
female,Donna,S,Solomon,Libra,"Support staff specialist",O+
male,John,M,Taylor,Aries,"Radio and telecommunications equipment repairer",A+
female,Brenda,A,Johnson,Taurus,"Beauty care specialist",B+
male,Fred,K,Ray,Pisces,"Corporate investigator",O+
male,Stewart,A,Watters,Aquarius,"Transit and railroad police",A+
female,Teena,W,Stewart,Scorpio,"Horse trainer",A+
male,Alfred,C,Homer,Cancer,"Parking enforcement worker",B-
female,Denise,C,Boll,Scorpio,"Residential electrician",A+
female,Edith,T,Prado,Taurus,Exterminator,A+
male,Michael,D,Valle,Scorpio,"Real estate rental agent",O+
female,Donna,A,Stanko,Gemini,"Tumor registrar",O+
female,Vivian,J,Vincent,Aries,"Lease operator",A+
female,Phyllis,J,Brett,Cancer,Geropsychologist,O+
male,Thomas,G,Mayer,Taurus,"Insulation worker",A+
female,Tomika,E,Andrade,Capricorn,"Credit clerk",O+
male,John,E,Price,Aquarius,"Staffing specialist",A+
female,Sherri,C,Blake,Taurus,"Labor contractor",O+
male,James,L,Howard,Aries,"Mine examiner",A+
female,Dianne,A,Scott,Aquarius,"Landscaping worker",B+
male,Nicholas,R,Callender,Sagittarius,"Decontamination technician",O+
female,Jennifer,F,Morgan,Sagittarius,"Support staff specialist",A+
female,Sue,G,Woodfin,Libra,"Management assistant",O-
male,Chris,B,Barker,Aries,"Account clerk",B+
male,Robert,J,Hunter,Pisces,"Dental assistant",A+
male,Jeffery,V,Clerk,Leo,"Kindergarten teacher",B+
female,Shannon,W,Salisbury,Taurus,"Data processor",O+
male,Timothy,J,Stewart,Aries,"Library media aide",A+
male,Francis,D,Breton,Taurus,"Financial aid director",O+
female,Barbara,N,Wilson,Pisces,"Mechanical drafter",A+
male,Robert,A,Tunnell,Gemini,"Position classifier",B+
female,Mary,S,Chavez,Gemini,Electrologist,A+
male,Paul,C,Sylvester,Aries,"Compensation and benefits technician",A+
male,Arthur,G,Young,Cancer,"Glass repairer",A+
female,Amelia,R,Campbell,Aquarius,Machinist,B+
female,Rosemary,R,Milligan,Gemini,"INS agent",A-
female,Willie,M,Trimble,Leo,"Sound engineering technician",B+
female,Marquita,D,Westmoreland,Scorpio,"Staff development specialist",B-
male,Michael,S,Chambless,Cancer,"Construction job cost estimator",A-
male,Anthony,L,Nida,Aquarius,"Subway operator",A+
female,Shirley,E,Thomas,Taurus,"Rehabilitation counselor",A+
female,Jane,S,Tilley,Scorpio,"Heating equipment technician",O+
female,Rosie,C,Kessler,Libra,Psychiatrist,AB+
female,Kristin,S,Tabb,Libra,"Personal and home care aide",A+
male,Bobby,S,Hampton,Pisces,"Time checker",A+
male,Stephen,L,Winkler,Virgo,"Theoretical chemist",B-
female,Lottie,D,Holt,Leo,"Business management analyst",A-
male,Edward,P,Bland,Taurus,"Network administrator",O+
male,Dennis,B,Lerner,Pisces,"Meat packer",A+
male,Luis,J,Sylvester,Capricorn,"Electronics technician",O-
male,Richard,H,Hatchett,Virgo,Silversmith,AB+
male,Ernest,K,Higgins,Taurus,"Information clerk",O+
male,Thomas,L,Logan,Sagittarius,"Heating, air-conditioning, and refrigeration mechanic",B+
male,Richard,Z,Paddock,Sagittarius,"Library media assistant",A+
male,Rodney,G,Powell,Aries,"Electronics engineer",O+
male,Ricardo,L,Petersen,Gemini,"Maxillofacial radiologist",B+
male,Robert,T,Wood,Virgo,Chemist,B+
male,Earl,H,Hein,Taurus,"Telephone station repairer",O-
female,Petra,A,Kaplan,Virgo,Welder,O+
female,Norma,M,Tinsley,Cancer,"Brake repairer",A+
male,Daniel,B,Ball,Cancer,"Veterinary technologist",A+
female,Conception,J,Sullivan,Gemini,"CART provider",B+
female,Tracy,D,Brower,Scorpio,President,B+
male,Barry,C,Shatley,Sagittarius,Physicist,A+
male,Michael,T,Gragg,Aquarius,"Chemical technician",O-
male,Joseph,J,McCoy,Scorpio,Professor,A+
female,Glenna,M,Moore,Taurus,Chiropractor,O+
female,Shonna,W,Solis,Sagittarius,"Quality control technician",O+
male,Chris,H,Ward,Capricorn,Auditor,O+
male,Kelly,M,Grant,Scorpio,"Asbestos abatement worker",B+
female,Ramonita,A,Perez,Taurus,"General internist",AB+
male,Wesley,D,Dickey,Cancer,"Industrial property manager",A+
male,Luis,A,Clark,Scorpio,"Oncology nurse",O+
male,Bart,S,Silverman,Capricorn,"Employee benefits specialist",O+
male,John,L,Hess,Leo,"Industrial equipment technician",O+
male,Joseph,T,Wee,Capricorn,Keeper,O+
male,Joseph,N,Brown,Gemini,"Localization translator",B+
female,Kerry,C,Norman,Cancer,"Clock repairer",AB+
male,Dana,M,Magana,Capricorn,Commissioner,O+
male,Jack,C,Jackson,Pisces,"Aerospace engineering and operations technician",B+
male,Kenneth,M,Mui,Leo,Macroeconomist,B+
male,Donald,H,Roman,Pisces,"Inside wire installer",O+
male,Austin,S,White,Leo,"Crop scientist",O+
male,Ryan,C,Walton,Virgo,"Sociocultural anthropologist",O+
female,Rene,J,Charleston,Leo,"Soil scientist",B+
female,Linda,R,Jackson,Scorpio,"Parts salesperson",O+
female,Dorothy,S,Gasser,Leo,"Transportation engineer",O+
female,Sara,J,Brundage,Sagittarius,"Personal and home care aide",A+
female,Michelle,D,Harney,Pisces,"Teacher assistant",A+
male,Donald,M,McKellar,Cancer,"Brokerage clerk",O+
female,Maureen,J,Chapman,Gemini,"Garment presser",AB+
female,Courtney,D,Echols,Leo,"Highway maintenance worker",O+
male,Todd,M,Fair,Pisces,"Insurance underwriter",B+
male,William,R,Bean,Gemini,"Admitting interviewer",B+
female,Dale,B,Jeffers,Scorpio,"Retail manager",O+
female,Joanne,D,Priest,Aquarius,"X-ray technician",O+
male,Stanley,J,Turner,Scorpio,"Radiation therapist",O+
male,Eugene,J,Gonzalez,Leo,"Guide interpreter",O-
male,Dale,E,Weekes,Libra,"Pesticide handler",O+
male,Ernest,C,Bernard,Gemini,"Extruding and drawing machine operators",AB+
female,Lori,S,Shears,Gemini,"Nursing assistant",O+
male,George,E,Knowles,Pisces,"Clinical social worker",AB-
male,Kenneth,C,Knox,Aquarius,Demographer,B+
female,Bonnie,J,Bengtson,Virgo,"Inhalation therapist",B+
male,Bart,R,Rios,Pisces,"Escort interpreter",A+
male,Joseph,S,Turner,Scorpio,"Continuous mining machine operator",O+
male,James,D,Fogarty,Pisces,"Information systems manager",O+
male,Lee,S,Byrne,Cancer,"Cleaning, washing, and metal pickling equipment operator",A+
female,Alicia,S,McDonald,Gemini,"Mail machine operator",A+
male,Jose,K,Franklin,Cancer,"Loan collection officer",B+
female,Theresa,R,Luter,Aries,"Financial manager",O-
male,Thomas,E,Hardy,Sagittarius,"Medical technologist",A+
male,Jason,V,Napoli,Aquarius,"National account executive",O+
male,Morgan,M,Swanger,Libra,"Brattice builder",O+
male,Ralph,N,Castro,Aquarius,"Oxy-gas cutter",A+
male,John,S,Shriner,Cancer,"Machine operator",A+
female,Sandra,W,O'Neill,Pisces,"Office administrator",O+
male,Floyd,W,Brown,Scorpio,Microbiologist,O+
female,Betty,C,Cudd,Taurus,"Executive administrative assistant",O+
female,Marsha,R,Ashton,Sagittarius,"Customs inspector",A+
female,Mickey,S,Holland,Libra,"Nuclear technician",B+
male,Greg,F,Davis,Taurus,"Closing agent",B+
female,Yvonne,C,Parks,Taurus,"Film and video editor",O+
male,Andres,C,Ferrell,Virgo,"Claims representative",A+
female,Rachel,N,Fuller,Scorpio,"Market research analyst",B+
female,Gail,A,Raffa,Aries,"Gas compressor and gas pumping station operator",A+
male,William,T,Battle,Gemini,"Production cost estimator",B+
female,Catherine,D,Sage,Capricorn,"Customer service representative",A+
female,Hattie,C,Salinas,Taurus,"Personal chef",O+
male,Robert,L,Thompson,Capricorn,"Medical equipment preparer",O+
female,Esther,J,Harris,Scorpio,"Law clerk",O-
female,Jackie,E,Nelson,Leo,"Advisor investigator",O-
female,Laverna,H,Walker,Leo,"Time recorder",A+
female,Lucille,C,Midkiff,Gemini,Lobbyist,O+
female,Wanda,J,Dennis,Pisces,"Theoretical mathematician",A-
female,Monica,J,Arnett,Aries,"Cardiac and vascular nurse",B+
female,Josephine,J,Altman,Virgo,"Bookkeeping clerk",O+
male,Edmund,A,Robinson,Pisces,"Electronic data processor",O+
male,Jess,J,Osborn,Virgo,"Publicity expert",A+
male,Nicholas,S,Ramirez,Sagittarius,"Building construction estimator",A+
female,Laura,W,Roberts,Sagittarius,"Claims examiner",B+
male,John,M,White,Scorpio,"Unclaimed property officer",AB+
female,Anna,D,Berry,Aquarius,"Computer technology trainer",A+
female,Peggy,C,Smith,Aries,"Keypunch operator",O+
male,James,E,Moses,Cancer,"Automotive engineer",O-
male,Jeremy,M,Curry,Virgo,"Credit checker",O+
male,Brian,S,Baker,Aquarius,"Transplant nurse",O+
female,Mollie,I,Avery,Aquarius,"Registered nurse anesthetist",O+
female,Bobbi,N,Montez,Capricorn,"GED teacher",O+
male,George,J,Whitmer,Aries,"Bench jeweler",O+
female,Carrie,A,Melton,Sagittarius,"Ophthalmic nurse",A+
female,Elsa,G,Stickley,Sagittarius,"Real estate rental agent",A+
male,Michael,D,Gonzales,Sagittarius,"Radiologic nurse",B+
female,Louise,B,Ross,Libra,"ATF agent",O+
male,Ronald,A,Murdoch,Sagittarius,"Accounting clerk",A+
male,Bruce,D,Frank,Scorpio,Umpire,AB+
male,Eugene,I,Yang,Leo,"News writer",A+
male,Nathaniel,M,Martino,Libra,"Telephone line installer",O+
female,Laure,K,Benoit,Aquarius,"Respiratory therapy technician",O+
female,Nicole,D,Lewis,Aquarius,"Elevator constructor",O+
male,Calvin,M,Walters,Libra,"Physical geographer",A+
female,Stacy,J,Rojas,Sagittarius,"Administrative project coordinator",A+
male,Rico,A,Wilborn,Libra,"Labor economist",B+
